Patch ID,Bulletin ID,Patch Description,Patch Status,Computer Name,KB Number,Release Date,Vendor
24001,MS17-MAY6,Security Update for Windows Server 2003 (KB4019204),Missing,T3FILP1,4019204,"Dec 20, 2019",Microsoft
24001,MS17-MAY6,Security Update for Windows Server 2003 (KB4019204),Missing,T3TELP4,4019204,"Dec 20, 2019",Microsoft
24001,MS17-MAY6,Security Update for Windows Server 2003 (KB4019204),Missing,T3TELP2,4019204,"Dec 20, 2019",Microsoft
24001,MS17-MAY6,Security Update for Windows Server 2003 (KB4019204),Missing,T3SECP1,4019204,"Dec 20, 2019",Microsoft
24001,MS17-MAY6,Security Update for Windows Server 2003 (KB4019204),Missing,T3FILP3,4019204,"Dec 20, 2019",Microsoft
24002,MS17-MAY6,Security Update for Windows Server 2003 for x64-based Systems (KB4019204),Missing,T3TSMP1,4019204,"Dec 20, 2019",Microsoft
24078,MS18-MAR2,2018-03 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4088878),Missing,TOSQLS1,4088878,"Mar 13, 2018",Microsoft
24113,MS18-MAR4,2018-03 Security Update for Windows Server 2008 for x86-based Systems (KB4089175),Missing,T8CTSP1,4089175,"Mar 13, 2018",Microsoft
24116,MS18-MAR4,2018-03 Security Update for Windows Server 2008 for x86-based Systems (KB4056564),Missing,T8CTSP1,4056564,"Mar 13, 2018",Microsoft
24119,MS18-MAR4,2018-03 Security Update for Windows Server 2008 for x86-based Systems (KB4089229),Missing,T8CTSP1,4089229,"Mar 13, 2018",Microsoft
24119,MS18-MAR4,2018-03 Security Update for Windows Server 2008 for x86-based Systems (KB4089229),Missing,T8FILP1,4089229,"Mar 13, 2018",Microsoft
24121,MS18-MAR4,2018-03 Security Update for Windows Server 2008 for x86-based Systems (KB4090450),Missing,T8CTSP1,4090450,"Mar 13, 2018",Microsoft
24221,MS18-APR2,2018-04 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4093108),Missing,TOSQLS1,4093108,"Apr 10, 2018",Microsoft
24364,MS18-APR4,2018-04 Security Update for Windows Server 2008 for x86-based Systems (KB4093227),Missing,T8CTSP1,4093227,"Apr 9, 2018",Microsoft
24376,MS18-APR4,2018-04 Security Update for Windows Server 2008 for x86-based Systems (KB4091756),Missing,T8CTSP1,4091756,"Apr 9, 2018",Microsoft
24448,MS18-MAY4,2018-05 Security Update for Windows Server 2008 for x86-based Systems (KB4101477),Missing,T8CTSP1,4101477,"May 8, 2018",Microsoft
24449,MS18-MAY4,2018-05 Security Update for Windows Server 2008 for x86-based Systems (KB4130944),Missing,T8CTSP1,4130944,"May 8, 2018",Microsoft
24455,MS18-MAY2,2018-05 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4103712),Missing,T8WEBT1,4103712,"May 8, 2018",Microsoft
24455,MS18-MAY2,2018-05 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4103712),Missing,TOSQLS1,4103712,"May 8, 2018",Microsoft
24532,MS18-MAY8,KB4099640-Description of the Security Only update for .NET Framework 2.0 SP2 and 3.0 SP2 for Windows Server 2008 SP2 (KB4095513),Missing,T8CTSP1,4095513,"May 8, 2018",Microsoft
24532,MS18-MAY8,KB4099640-Description of the Security Only update for .NET Framework 2.0 SP2 and 3.0 SP2 for Windows Server 2008 SP2 (KB4095513),Missing,T8FILP1,4095513,"May 8, 2018",Microsoft
24532,MS18-MAY8,KB4099640-Description of the Security Only update for .NET Framework 2.0 SP2 and 3.0 SP2 for Windows Server 2008 SP2 (KB4095513),Missing,T8APPP1,4095513,"May 8, 2018",Microsoft
24555,MS18-MAY8,KB4099636-Description of the Security Only update for .NET Framework 3.5.1 for Windows 7 SP1 and Server 2008 R2 SP1 (x64) (KB4095514),Missing,T8MDCP1,4095514,"May 8, 2018",Microsoft
24555,MS18-MAY8,KB4099636-Description of the Security Only update for .NET Framework 3.5.1 for Windows 7 SP1 and Server 2008 R2 SP1 (x64) (KB4095514),Missing,T8XSWP1,4095514,"May 8, 2018",Microsoft
24555,MS18-MAY8,KB4099636-Description of the Security Only update for .NET Framework 3.5.1 for Windows 7 SP1 and Server 2008 R2 SP1 (x64) (KB4095514),Missing,T8WEBT1,4095514,"May 8, 2018",Microsoft
24555,MS18-MAY8,KB4099636-Description of the Security Only update for .NET Framework 3.5.1 for Windows 7 SP1 and Server 2008 R2 SP1 (x64) (KB4095514),Missing,TOSQLS1,4095514,"May 8, 2018",Microsoft
24561,MS18-MAY8,"KB4099640-Description of the Security Only update for .NET Framework 4.6, 4.6.1, 4.6.2, 4.7, 4.7.1 for Windows 7 SP1 (x64) and Server 2008 R2 SP1(KB4096237)",Missing,PCISAPCLT,4096237,"May 14, 2018",Microsoft
